date Time,SecTime,Final_Deg,Final_Rev,Enc_Deg,Enc_Rev,Ref_Deg,Ref_Rev,Doppler_data,RSSI_SUM_Data,RSSI_Delta_Data,Detection,
06-10-17 21:37:28.486,28.486,22.6816,5807,43.6816,5807,360,65535,0,1971,2166,0,
06-10-17 21:37:28.494,28.494,22.6816,5807,43.6816,5807,360,65535,0,1971,2167,0,
06-10-17 21:37:28.502,28.502,22.6816,5807,43.6816,5807,360,65535,0,1964,2167,0,
06-10-17 21:37:28.510,28.51,22.6816,5807,43.6816,5807,360,65535,0,1963,2161,0,
06-10-17 21:37:28.518,28.518,22.6816,5807,43.6816,5807,360,65535,0,1963,2157,0,
06-10-17 21:37:28.526,28.526,22.6816,5807,43.6816,5807,360,65535,0,1958,2157,0,
06-10-17 21:37:28.534,28.534,22.6816,5807,43.6816,5807,360,65535,0,1973,2183,0,
06-10-17 21:37:28.542,28.542,22.6816,5807,43.6816,5807,360,65535,0,1973,2168,0,
06-10-17 21:37:28.550,28.55,22.6816,5807,43.6816,5807,360,65535,0,1972,2168,0,
06-10-17 21:37:28.558,28.558,22.6816,5807,43.6816,5807,360,65535,0,1960,2157,0,
06-10-17 21:37:28.566,28.566,22.6816,5807,43.6816,5807,360,65535,0,1960,2157,0,
06-10-17 21:37:28.574,28.574,22.6816,5807,43.6816,5807,360,65535,0,1973,2157,0,
06-10-17 21:37:28.582,28.582,22.6816,5807,43.6816,5807,360,65535,0,1974,2167,0,
06-10-17 21:37:28.590,28.59,22.6816,5807,43.6816,5807,360,65535,0,1974,2167,0,
06-10-17 21:37:28.598,28.598,22.6816,5807,43.6816,5807,360,65535,0,1969,2153,0,
06-10-17 21:37:28.606,28.606,22.6816,5807,43.6816,5807,360,65535,0,1972,2142,0,
06-10-17 21:37:28.614,28.614,22.6816,5807,43.6816,5807,360,65535,0,1972,2142,0,
06-10-17 21:37:28.622,28.622,22.6816,5807,43.6816,5807,360,65535,0,1965,2159,0,
06-10-17 21:37:28.630,28.63,22.6816,5807,43.6816,5807,360,65535,0,1962,2154,0,
06-10-17 21:37:28.638,28.638,22.6816,5807,43.6816,5807,360,65535,0,1962,2154,0,
06-10-17 21:37:28.646,28.646,22.6816,5807,43.6816,5807,360,65535,0,1983,2169,0,
06-10-17 21:37:28.654,28.654,22.6816,5807,43.6816,5807,360,65535,0,1968,2169,0,
06-10-17 21:37:28.662,28.662,22.6816,5807,43.6816,5807,360,65535,0,1968,2169,0,
06-10-17 21:37:28.670,28.67,22.6816,5807,43.6816,5807,360,65535,0,1962,2153,0,
06-10-17 21:37:28.678,28.678,22.6816,5807,43.6816,5807,360,65535,0,1962,2140,0,
06-10-17 21:37:28.686,28.686,22.6816,5807,43.6816,5807,360,65535,0,1983,2140,0,
06-10-17 21:37:28.694,28.694,22.6816,5807,43.6816,5807,360,65535,0,1970,2175,0,
06-10-17 21:37:28.702,28.702,22.6816,5807,43.6816,5807,360,65535,0,1970,2164,0,
06-10-17 21:37:28.710,28.71,22.6816,5807,43.6816,5807,360,65535,0,1968,2164,0,
06-10-17 21:37:28.718,28.718,22.6816,5807,43.6816,5807,360,65535,0,1987,2141,0,
06-10-17 21:37:28.726,28.726,22.6816,5807,43.6816,5807,360,65535,0,1987,2181,0,
06-10-17 21:37:28.734,28.734,22.6816,5807,43.6816,5807,360,65535,0,1965,2181,0,
06-10-17 21:37:28.742,28.742,22.6816,5807,43.6816,5807,360,65535,0,1969,2161,0,
06-10-17 21:37:28.750,28.75,22.6816,5807,43.6816,5807,360,65535,0,1969,2157,0,
06-10-17 21:37:28.758,28.758,22.6816,5807,43.6816,5807,360,65535,0,1969,2157,0,
06-10-17 21:37:28.766,28.766,22.6816,5807,43.6816,5807,360,65535,0,1974,2163,0,
06-10-17 21:37:28.774,28.774,22.6816,5807,43.6816,5807,360,65535,0,1974,2163,0,
06-10-17 21:37:28.782,28.782,22.6816,5807,43.6816,5807,360,65535,0,1969,2165,0,
06-10-17 21:37:28.790,28.79,22.6816,5807,43.6816,5807,360,65535,0,1964,2164,0,
06-10-17 21:37:28.798,28.798,22.6816,5807,43.6816,5807,360,65535,0,1964,2164,0,
06-10-17 21:37:28.806,28.806,22.6816,5807,43.6816,5807,360,65535,0,1971,2155,0,
06-10-17 21:37:28.814,28.814,22.6816,5807,43.6816,5807,360,65535,0,1960,2170,0,
06-10-17 21:37:28.822,28.822,22.6816,5807,43.6816,5807,360,65535,0,1960,2170,0,
06-10-17 21:37:28.830,28.83,22.6816,5807,43.6816,5807,360,65535,0,1971,2154,0,
06-10-17 21:37:28.838,28.838,22.6816,5807,43.6816,5807,360,65535,0,1971,2180,0,
06-10-17 21:37:28.846,28.846,22.6816,5807,43.6816,5807,360,65535,0,1960,2180,0,
06-10-17 21:37:28.854,28.854,22.6816,5807,43.6816,5807,360,65535,0,1968,2163,0,
06-10-17 21:37:28.862,28.862,22.6816,5807,43.6816,5807,360,65535,0,1968,2179,0,
06-10-17 21:37:28.870,28.87,22.6816,5807,43.6816,5807,360,65535,0,1958,2179,0,
06-10-17 21:37:28.878,28.878,22.6816,5807,43.6816,5807,360,65535,0,1963,2160,0,
06-10-17 21:37:28.886,28.886,22.6816,5807,43.6816,5807,360,65535,0,1963,2172,0,
06-10-17 21:37:28.894,28.894,22.6816,5807,43.6816,5807,360,65535,0,1970,2172,0,
06-10-17 21:37:28.902,28.902,22.6816,5807,43.6816,5807,360,65535,0,1967,2160,0,
06-10-17 21:37:28.910,28.91,22.6816,5807,43.6816,5807,360,65535,0,1967,2149,0,
06-10-17 21:37:28.918,28.918,22.6816,5807,43.6816,5807,360,65535,0,1980,2149,0,
06-10-17 21:37:28.926,28.926,22.6816,5807,43.6816,5807,360,65535,0,1969,2160,0,
06-10-17 21:37:28.934,28.934,22.6816,5807,43.6816,5807,360,65535,0,1969,2160,0,
06-10-17 21:37:28.942,28.942,22.6816,5807,43.6816,5807,360,65535,0,1968,2154,0,
06-10-17 21:37:28.950,28.95,22.6816,5807,43.6816,5807,360,65535,0,1970,2165,0,
06-10-17 21:37:28.958,28.958,22.6816,5807,43.6816,5807,360,65535,0,1970,2165,0,
06-10-17 21:37:28.966,28.966,22.6816,5807,43.6816,5807,360,65535,0,1962,2146,0,
06-10-17 21:37:28.974,28.974,22.6816,5807,43.6816,5807,360,65535,0,1970,2170,0,
06-10-17 21:37:28.982,28.982,22.6816,5807,43.6816,5807,360,65535,0,1970,2170,0,
06-10-17 21:37:28.990,28.99,22.6816,5807,43.6816,5807,360,65535,0,1959,2176,0,
06-10-17 21:37:28.998,28.998,22.6816,5807,43.6816,5807,360,65535,0,1959,2174,0,
06-10-17 21:37:29.006,29.006,22.6816,5807,43.6816,5807,360,65535,0,1967,2174,0,
06-10-17 21:37:29.014,29.014,22.6816,5807,43.6816,5807,360,65535,0,1966,2156,0,
06-10-17 21:37:29.022,29.022,22.6816,5807,43.6816,5807,360,65535,0,1966,2173,0,
06-10-17 21:37:29.030,29.03,22.6816,5807,43.6816,5807,360,65535,0,1967,2173,0,
06-10-17 21:37:29.038,29.038,22.6816,5807,43.6816,5807,360,65535,0,1974,2170,0,
06-10-17 21:37:29.046,29.046,22.6816,5807,43.6816,5807,360,65535,0,1974,2172,0,
06-10-17 21:37:29.054,29.054,22.6816,5807,43.6816,5807,360,65535,0,1976,2172,0,
06-10-17 21:37:29.062,29.062,22.6816,5807,43.6816,5807,360,65535,0,1965,2137,0,
06-10-17 21:37:29.070,29.07,22.6816,5807,43.6816,5807,360,65535,0,1965,2149,0,
06-10-17 21:37:29.078,29.078,22.6816,5807,43.6816,5807,360,65535,0,1972,2149,0,
06-10-17 21:37:29.086,29.086,22.6816,5807,43.6816,5807,360,65535,0,1977,2164,0,
